Istitute code	Accession number	Genus	Species	Subtaxa	Collecting number	Collecting institute code	Donor Institute code 	Donor accession number	Code of duplicates in other genebank 	Code of the genebank holder of the duplicate	Local name	Traditional location	Collecting site 	Province	Region	Country	Latitude	Longitude	Altitude	Biological status of accession	Collecting source	Acquisition date	Collecting date
ESP026	BGV000917	Brassica	oleracea L.	Variety:acephala:DC.	AN-L-18	ESP026					Tomate de pera		Ronda direcci‚Äö√Ý√∂‚Äö√¢‚Ä¢n Arriate, ;M‚Äö√Ý√∂¬¨‚àûlaga	M‚Äö√Ý√∂¬¨‚àûlaga	Andaluc‚Äö√Ý√∂‚Äö√¢√ùa	ESP	3655--N	00509--W	723	300	26	1984----	19841009
ESP026	BGV000928	Capsicum	annuum L.	Variety:annuum:	AN-L-29	CNR-IVALSA	CNR-IVALSA	 IVALSA 37			Tomate 		Algeciras direcci‚Äö√Ý√∂‚Äö√¢‚Ä¢n El Rinconcillo;C‚Äö√Ý√∂¬¨‚àûdiz	C‚Äö√Ý√∂¬¨‚àûdiz	Andaluc‚Äö√Ý√∂‚Äö√¢√ùa	ESP	3608--N	00527--W	17	300	26	1984----	19841011
ESP026	BGV000932	Capsicum	annuum L.		AN-L-33	ESP026			 IVALSA 38	CNR-IVALSA	Tomate caqui		Benaocaz direcci‚Äö√Ý√∂‚Äö√¢‚Ä¢n Valle del Tavizna;C‚Äö√Ý√∂¬¨‚àûdiz	C‚Äö√Ý√∂¬¨‚àûdiz	Andaluc‚Äö√Ý√∂‚Äö√¢√ùa	ESP	3640--N	00526--W	793	300	26	1984----	19841007
ESP026	BGV000933	Capsicum			LC9	FMA01			BGV000928	ESP026	Tomaquera buida		Nav‚Äö√Ñ√∂‚àö√ë‚àö‚àÇ‚Äö√Ý√∂‚àö√π‚Äö√Ý√∂‚Äö√Ý√á‚Äö√Ñ√∂‚àö√ù‚àö‚àÇ‚Äö√Ý√∂≈ì√Ñs	Barcelona		ESP	407121.00	4639604.00	370	300	40		1989
ESP026	BGV000934	Cucumis	melo L.	Subspecie: flexuosus: (L.) Greb.							Tomate Californienne			Gironde	Acquitaine	FRA	445025 N	0003449 O	20 m	300	21	2014 - - - -	
ESP026	BGV000935	Solanum	lycopersicum L.	Variety: cerasiforme: (Alef.) Fosberg							Puche									300	40	1991 - - - -	
ESP026	BGV000936	Solanum	annuum L.	Variety: cerasiforme: (Alef.) Fosberg							Puche									300	40	1991 - - - -	
